Última atualização: 11/09/2020;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Operação;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência;Superfície;Validade do Registro;Portaria de Registro;Link
SJGA;AM0059;Hospital Universitário Getúlio Vargas;MANAUS;Amazonas;"060°01'09,0""O";"03°06'58,0""S";VFR Diurna/Noturna;11;Quadrado;19,5m x 19,5m;t;Concreto;16/11/2026;PA2016-2892;https://pergamum.anac.gov.br/arquivos/PA2016-2892.pdf
SJGO;RJ0105;AGO;RIO DE JANEIRO;Rio de Janeiro;"043°21'44,0""O";"22°58'16,0""S";VFR Diurna/Noturna;23;Quadrado;21m x 21m;t;Concreto;13/09/2022;PA2012-1827;https://pergamum.anac.gov.br/arquivos/PA2012-1827.pdf
SJHC;RJ0106;Canal;CABO FRIO;Rio de Janeiro;"042°00'41,0""O";"22°52'19,0""S";VFR Diurna/Noturna;18;Quadrado;22m x 22m;t;Grama;19/09/2021;PA2015-1170;https://pergamum.anac.gov.br/arquivos/PA2015-1170.pdf
SJIX;RJ0107;Marina Porto Imperial;PARATY;Rio de Janeiro;"044°42'55,0""O";"23°13'50,0""S";VFR Diurna/Noturna;8 26;Quadrado;21m x 21m;4,25t;Concreto;28/09/2021;PA2011-1876;https://pergamum.anac.gov.br/arquivos/PA2011-1876.pdf
SJMB;RJ0108;Fazenda Mombaça;ANGRA DOS REIS;Rio de Janeiro;"044°17'20,0""O";"23°00'59,0""S";VFR Diurna/Noturna;35;Quadrado;21m x 21m;t;Concreto;14/07/2021;PA2015-0414;https://pergamum.anac.gov.br/arquivos/PA2015-0414.pdf
SWQF;CE0068;Miguel Dias III;MULUNGU;Ceará;"038°58'52,9""O";"04°14'17,9""S";VFR Diurna/Noturna;13 32;Quadrado;18m x 18m;t;Concreto;04/01/2026;PA2016-0001;https://pergamum.anac.gov.br/arquivos/PA2016-0001.pdf
SJSP;RJ0112;Caragoatá;PARATY;Rio de Janeiro;"044°35'40,0""O";"23°14'28,0""S";VFR Diurna/Noturna;16;Quadrado;21m x 21m;t;Concreto;04/10/2022;PA2012-2007;https://pergamum.anac.gov.br/arquivos/PA2012-2007.pdf
SJSQ;RJ0113;Quinta do Carangola;PETRÓPOLIS;Rio de Janeiro;"043°09'19,0""O";"22°28'17,0""S";VFR Diurna/Noturna;9;Quadrado;21m x 21m;t;Concreto;30/12/2026;PA2016-3735;https://pergamum.anac.gov.br/arquivos/PA2016-3735.pdf
SJSY;RJ0114;SICPA;RIO DE JANEIRO;Rio de Janeiro;"043°44'05,0""O";"22°53'02,0""S";VFR Diurna/Noturna;24;Quadrado;20m x 20m;t;Concreto;19/11/2024;PA2014-2707;https://pergamum.anac.gov.br/arquivos/PA2014-2707.pdf
SNQA;BA0214;Lojas Guaibim;VALENÇA;Bahia;"039°03'44,0""O";"13°21'48,0""S";VFR Diurna/Noturna;28;Quadrado;21m x 21m;t;Concreto;21/09/2027;PA2017-2903;https://pergamum.anac.gov.br/arquivos/PA2017-2903.pdf
SJUX;RJ0115;MBP - Metalúrgica Barra do Piraí;BARRA DO PIRAÍ;Rio de Janeiro;"043°51'06,1""O";"22°28'34,6""S";VFR Diurna/Noturna;9;Quadrado;21m x 21m;t;Concreto;11/03/2024;PA2014-0549;https://pergamum.anac.gov.br/arquivos/PA2014-0549.pdf
SJUY;RJ0116;Sinal Empreendimentos;RIO DAS OSTRAS;Rio de Janeiro;"041°56'04,0""O";"22°29'18,0""S";VFR Diurna/Noturna;2 28;Quadrado;21m x 21m;4,25t;Concreto;13/12/2021;PA2011-2424;https://pergamum.anac.gov.br/arquivos/PA2011-2424.pdf
SJWD;RJ0117;RDP;MANGARATIBA;Rio de Janeiro;"044°05'38,0""O";"22°59'37,0""S";VFR Diurna/Noturna;23;Quadrado;21m x 21m;t;Grama;05/06/2025;PA2015-1335;https://pergamum.anac.gov.br/arquivos/PA2015-1335.pdf
SJWR;RJ0119;Heligalo;ANGRA DOS REIS;Rio de Janeiro;"044°12'07,0""O";"23°02'03,0""S";VFR Diurna/Noturna;31;Quadrado;21m x 21m;4,25t;Grama;28/02/2021;PA2011-0376;https://pergamum.anac.gov.br/arquivos/PA2011-0376.pdf
SJXQ;RJ0120;Cargo Park;RIO DE JANEIRO;Rio de Janeiro;"043°17'01,0""O";"22°48'55,0""S";VFR Diurna;4;Quadrado;24m x 24m;t;Paralelepípedo;05/06/2025;PA2015-1337;https://pergamum.anac.gov.br/arquivos/PA2015-1337.pdf
SJXT;RJ0121;Iguassú;ANGRA DOS REIS;Rio de Janeiro;"044°11'34,0""O";"23°07'16,0""S";VFR Diurna/Noturna;23;Quadrado;21m x 21m;4,25t;Grama;08/09/2021;PA2011-1698;https://pergamum.anac.gov.br/arquivos/PA2011-1698.pdf
SIQN;CE0037;Chica Doce;PINDORETAMA;Ceará;"038°19'40,0""O";"04°02'38,0""S";VFR Diurna/Noturna;11;Quadrado;20m x 20m;t;Concreto;23/11/2025;PA2015-3114;https://pergamum.anac.gov.br/arquivos/PA2015-3114.pdf
SJXY;RJ0122;Pirata's Mall;;;"044°18'06,6""O";"23°00'14,0""S";VFR Diurna/Noturna;36;Quadrado;19,5m x 19,5m;t;Concreto;27/11/2024;PA2014-2823;https://pergamum.anac.gov.br/arquivos/PA2014-2823.pdf
SDEH;AM0056;Hospital Zona Norte;MANAUS;Amazonas;"060°01'48""O";"02°59'53,0""S";VFR Diurna/Noturna;27;Quadrado;20,52m x 20,52m;t;Concreto;17/05/2026;PA2016-1204;https://pergamum.anac.gov.br/arquivos/PA2016-1204.pdf
SJZK;RJ0123;Projac;RIO DE JANEIRO;Rio de Janeiro;"043°24'21,0""O";"22°57'37,0""S";VFR Diurna/Noturna;34;Quadrado;21m x 21m;t;Concreto;19/01/2021;PA2014-1954;https://pergamum.anac.gov.br/arquivos/PA2014-1954.pdf
SNEF;RJ0125;Praia de Santa Rita;PARATY;Rio de Janeiro;"044°38'45,0""O";"23°11'30,0""S";VFR Diurna/Noturna;30;Quadrado;20,25m x 20,25m;t;Concreto;23/04/2025;PA2015-0969;https://pergamum.anac.gov.br/arquivos/PA2015-0969.pdf
SDJH;GO0154;Heliponto Privado Hiper Moreira;GOIÂNIA;Goiás;"049°16'56,0""O";"16°41'12,0""S";VFR Diurna;19;Quadrado;18m x 18m;t;Aço;13/03/2027;PA2017-0621;https://pergamum.anac.gov.br/arquivos/PA2017-0621.pdf
SIHF;GO0156;Flamboyant II;GOIÂNIA;Goiás;"049°14'09,0""O";"16°42'34,0""S";VFR Diurna/Noturna;25;Quadrado;20m x 20m;t;Concreto;18/02/2025;PA2015-0402;https://pergamum.anac.gov.br/arquivos/PA2015-0402.pdf
SIRP;GO0160;All Park Polo Empresarial;APARECIDA DE GOIÂNIA;Goiás;"049°12'13,0""O";"16°49'30,0""S";VFR Diurna;13 31;Quadrado;18m x 18m;t;Concreto;14/03/2028;PA2018-0790;https://pergamum.anac.gov.br/arquivos/PA2018-0790.pdf
SNEH;RJ0126;Hospital Samaritano;RIO DE JANEIRO;Rio de Janeiro;"043°22'16,0""O";"22°59'33,0""S";VFR Diurna/Noturna;20;Quadrado;21m x 21m;t;Concreto;31/05/2026;PA2016-1329;https://pergamum.anac.gov.br/arquivos/PA2016-1329.pdf
SNEQ;RJ0127;Ouro Negro;RIO DE JANEIRO;Rio de Janeiro;"043°13'23,0""O";"22°54'47,0""S";VFR Diurna/Noturna;33;Quadrado;21m x 21m;t;Concreto;11/08/2024;PA2015-0222;https://pergamum.anac.gov.br/arquivos/PA2015-0222.pdf
SISF;GO0161;Cifarma;GOIÂNIA;Goiás;"049°12'03,0""O";"16°37'52,0""S";VFR Diurna/Noturna;16;Quadrado;19,5m x 19,5m;t;Concreto;06/05/2025;PA2015-1047;https://pergamum.anac.gov.br/arquivos/PA2015-1047.pdf
SNHQ;GO0165;Do Crer;GOIÂNIA;Goiás;"049°14'56,0""O";"16°39'18,0""S";VFR Diurna/Noturna;32;Quadrado;20m x 20m;t;Concreto;26/01/2025;PA2015-0173;https://pergamum.anac.gov.br/arquivos/PA2015-0173.pdf
SNXF;GO0167;Igarashi 2;CRISTALINA;Goiás;"047°31'07,0""O";"16°04'49,0""S";VFR Diurna/Noturna;33;Quadrado;18m x 18m;t;Concreto;21/09/2027;PA2017-3033;https://pergamum.anac.gov.br/arquivos/PA2017-3033.pdf
SIXQ;BA0198;Ford Camaçari;CAMAÇARI;Bahia;"038°16'24,0""O";"12°40'25,0""S";VFR Diurna;7;Quadrado;29,25m x 29,25m;t;Concreto;18/11/2025;PA2015-3051;https://pergamum.anac.gov.br/arquivos/PA2015-3051.pdf
SSNL;GO0171;Louzandes;SILVÂNIA;Goiás;"048°43'15,0""O";"16°35'08,0""S";VFR Diurna/Noturna;23;Quadrado;13m x 13m;t;Concreto;11/01/2028;PA2017-4251;https://pergamum.anac.gov.br/arquivos/PA2017-4251.pdf
SWGB;GO0175;Gabinete Militar;GOIÂNIA;Goiás;"049°15'20,0""O";"16°40'54,0""S";VFR Diurna/Noturna;6 24;Quadrado;19,5m x 19,5m;t;Concreto;04/04/2023;PA2013-0876;https://pergamum.anac.gov.br/arquivos/PA2013-0876.pdf
SWIG;GO0176;Igarashi 3;PLANALTINA;Goiás;"047°35'31,0""O";"15°10'53,0""S";VFR Diurna/Noturna;33;Quadrado;18m x 18m;t;Concreto;14/03/2028;PA2018-0796;https://pergamum.anac.gov.br/arquivos/PA2018-0796.pdf
SNLH;RJ0130;Ilha do Almeida;ANGRA DOS REIS;Rio de Janeiro;"044°20'31,0""O";"23°02'17,0""S";VFR Diurna/Noturna;33;Quadrado;21m x 21m;t;Concreto;26/01/2027;PA2017-0203;https://pergamum.anac.gov.br/arquivos/PA2017-0203.pdf
SNND;RJ0131;Piraquê II;QUEIMADOS;Rio de Janeiro;"043°37'19,0""O";"22°44'31,0""S";VFR Diurna/Noturna;19;Quadrado;24m x 24m;t;Concreto;30/06/2025;PA2015-1616;https://pergamum.anac.gov.br/arquivos/PA2015-1616.pdf
SNQL;RJ0132;Piraquê I;RIO DE JANEIRO;Rio de Janeiro;"043°20'29,9""O";"22°51'52,4""S";VFR Diurna/Noturna;1;Quadrado;24m x 24m;t;Concreto;02/07/2025;PA2015-1643;https://pergamum.anac.gov.br/arquivos/PA2015-1643.pdf
SNSB;RJ0135;Betel;RIO DE JANEIRO;Rio de Janeiro;"043°40'07,8""O";"22°54'54,0""S";VFR Diurna;17;Quadrado;21m x 21m;t;Grama;29/01/2026;PA2016-0180;https://pergamum.anac.gov.br/arquivos/PA2016-0180.pdf
SNUO;RJ0136;Banco Central;RIO DE JANEIRO;Rio de Janeiro;"043°10'58,0""O";"22°54'07,0""S";VFR Diurna/Noturna;7 16;Quadrado;19,5m x 19,5m;2,25t;Concreto;19/10/2021;PA2011-1779;https://pergamum.anac.gov.br/arquivos/PA2011-1779.pdf
SNVE;RJ0137;Fazenda Vale das Estrelas;AREAL;Rio de Janeiro;"043°08'27,0""O";"22°16'15,0""S";VFR Diurna;21;Quadrado;24m x 24m;t;Grama;25/01/2028;PA2018-0165;https://pergamum.anac.gov.br/arquivos/PA2018-0165.pdf
SNVF;RJ0138;Banco Itaú-RJ;RIO DE JANEIRO;Rio de Janeiro;"043°13'25,0""O";"22°53'58,0""S";VFR Diurna/Noturna;18 27;Quadrado;18m x 18m;2,27t;Concreto;14/03/2022;PA2012-0463;https://pergamum.anac.gov.br/arquivos/PA2012-0463.pdf
SNYC;RJ0140;CICC;RIO DE JANEIRO;Rio de Janeiro;"043°11'56,0""O";"22°54'32,0""S";VFR Diurna/Noturna;3 24;Quadrado;21m x 21m;t;Concreto;07/11/2024;PA2014-2633;https://pergamum.anac.gov.br/arquivos/PA2014-2633.pdf
SSAX;RJ0143;AVL;CONCEIÇÃO DE MACABU;Rio de Janeiro;"041°46'56,0""O";"22°06'02,0""S";VFR Diurna/Noturna;36;Quadrado;24m x 24m;t;Concreto;20/09/2021;PA2011-1780;https://pergamum.anac.gov.br/arquivos/PA2011-1780.pdf
SSDR;RJ0144;Hospital Copa D'OR;RIO DE JANEIRO;Rio de Janeiro;"043°11'25,0""O";"22°57'56,0""S";VFR Diurna/Noturna;1 19;Quadrado;19,5m x 19,5m;t;Concreto;25/04/2026;PA2016-0996;https://pergamum.anac.gov.br/arquivos/PA2016-0996.pdf
SSIN;RJ0145;Sítio Costa dos Calhaus;PARATY;Rio de Janeiro;"044°37'59,0""O";"23°13'01,0""S";VFR Diurna/Noturna;7;Quadrado;21m x 21m;t;Concreto;20/05/2025;PA2015-1184;https://pergamum.anac.gov.br/arquivos/PA2015-1184.pdf
SSJH;RJ0146;Ninho do Condor;NOVA IGUAÇU;Rio de Janeiro;"043°29'31,0""O";"22°39'52,0""S";VFR Diurna/Noturna;29;Quadrado;29,25m x 29,25m;t;Concreto;16/07/2025;PA2015-1861;https://pergamum.anac.gov.br/arquivos/PA2015-1861.pdf
SSYJ;CE0062;BOISA;MARANGUAPE;Ceará;"038°53'23,0""O";"03°58'04,7""S";VFR Diurna/Noturna;13;Quadrado;20m x 20m;t;Concreto;19/11/2022;PA2012-2490;https://pergamum.anac.gov.br/arquivos/PA2012-2490.pdf
SSRX;RJ0148;Recanto da Serra;ITAGUAÍ;Rio de Janeiro;"043°48'40,0""O";"22°48'50,0""S";VFR Diurna/Noturna;1;Quadrado;18m x 18m;t;Grama;06/02/2025;PA2015-0288;https://pergamum.anac.gov.br/arquivos/PA2015-0288.pdf
SSSN;RJ0149;Do Açu;SÃO JOÃO DA BARRA;Rio de Janeiro;"041°01'08,0""O";"21°47'57,0""S";VFR Diurna/Noturna;8 26;Quadrado;25m x 25m;t;Concreto;22/05/2025;PA2015-1221;https://pergamum.anac.gov.br/arquivos/PA2015-1221.pdf
SSTI;RJ0150;Fazenda Santa Matilde;PETRÓPOLIS;Rio de Janeiro;"043°00'08,9""O";"22°16'04,6""S";VFR Diurna/Noturna;34;Quadrado;24m x 24m;t;Grama;09/11/2022;PA2018-1505;https://pergamum.anac.gov.br/arquivos/PA2018-1505.pdf
SWCL;RJ0151;Clube CEU;RIO DE JANEIRO;Rio de Janeiro;"043°23'38,0""O";"22°58'56,0""S";VFR Diurna/Noturna;7 25;Quadrado;18,4m x 18,4m;t;Concreto;04/03/2023;PA2013-0543;https://pergamum.anac.gov.br/arquivos/PA2013-0543.pdf
SNLX;AL0018;Condomínio Laguna;MARECHAL DEODORO;Alagoas;"035°48'02,5""O";"09°42'11,5""S";VFR Diurna/Noturna;5;Quadrado;19,5m x 19,5m;t;Asfalto;16/12/2025;PA2015-3324;https://pergamum.anac.gov.br/arquivos/PA2015-3324.pdf
SWCN;RJ0152;Instituto de Ciências Náuticas;MARICÁ;Rio de Janeiro;"042°56'55,0""O";"22°56'04,0""S";VFR Diurna;;Circular;20m x 20m;3t;Concreto;07/12/2027;PA2017-3941;https://pergamum.anac.gov.br/arquivos/PA2017-3941.pdf
SDDF;MA0054;Difusora;SÃO LUÍS;Maranhão;"044°17'27,0""O";"02°31'29,0""S";VFR Diurna/Noturna;2;Quadrado;18m x 18m;t;Concreto;16/09/2024;PA2014-2176;https://pergamum.anac.gov.br/arquivos/PA2014-2176.pdf
SWAH;MG0277;Eco Aviação;BELO HORIZONTE;Minas Gerais;"043°52'17,0""O";"19°50'32,0""S";VFR Diurna/Noturna;13 34;Quadrado;21,45m x 21,45m;t;Concreto;23/04/2025;PA2017-2959;https://pergamum.anac.gov.br/arquivos/PA2017-2959.pdf
SWBM;MG0280;Bauminas;CATAGUASES;Minas Gerais;"042°43'57""O";"21°22'32,0""S";VFR Diurna/Noturna;15;Quadrado;21m x 21m;t;Concreto;17/01/2028;PA2018-0021;https://pergamum.anac.gov.br/arquivos/PA2018-0021.pdf
SWAT;BA0227;Tauana;PRADO;Bahia;"039°09'40,0""O";"16°57'27,0""S";VFR Diurna/Noturna;31;Quadrado;30m x 30m;t;Concreto;23/07/2023;PA2016-2432;https://pergamum.anac.gov.br/arquivos/PA2016-2432.pdf
SDIF;MG0216;Palácio Tiradentes;BELO HORIZONTE;Minas Gerais;"043°57'06,9""O";"19°47'02,0""S";VFR Diurna/Noturna;14 34;Quadrado;21m x 21m;t;Concreto;20/06/2021;PA2011-1194;https://pergamum.anac.gov.br/arquivos/PA2011-1194.pdf
SSMN;GO0170;Metropolitan;GOIÂNIA;Goiás;"049°14'27,0""O";"16°42'18,0""S";VFR Diurna/Noturna;16 31;Quadrado;21m x 21m;t;Concreto;24/03/2026;PA2016-0701;https://pergamum.anac.gov.br/arquivos/PA2016-0701.pdf
SIDX;SP0482;Vila Adail 2;ELIAS FAUSTO;São Paulo;"047°23'47,0""O";"23°03'02,0""S";VFR Diurna/Noturna;35;Quadrado;24m x 24m;t;Grama;16/12/2025;PA2015-3325;https://pergamum.anac.gov.br/arquivos/PA2015-3325.pdf
SWDJ;SP0872;Trend Tower;BARUERI;São Paulo;"046°51'19,0""O";"23°29'08,4""S";VFR Diurna/Noturna;49;Quadrado;21m x 21m;t;Concreto;;;
SNBY;MG0250;Torre Boulevard;BELO HORIZONTE;Minas Gerais;"043°55'15,0""O";"19°55'13,0""S";VFR Diurna/Noturna;16 31;Quadrado;21m x 21m;t;Concreto;05/12/2023;PA2013-3175;https://pergamum.anac.gov.br/arquivos/PA2013-3175.pdf
SSRN;MG0273;Serra do Curral;BELO HORIZONTE;Minas Gerais;"043°55'06,4""O";"19°57'08,9""S";VFR Diurna/Noturna;15;Quadrado;20m x 20m;t;Concreto;10/10/2023;PA2018-3607;https://pergamum.anac.gov.br/arquivos/PA2018-3607.pdf
SWZK;RJ0173;CON - CN - CIDADE NOVA;RIO DE JANEIRO;Rio de Janeiro;"043°12'12,0""O";"22°54'41,0""S";VFR Diurna/Noturna;34;Quadrado;21m x 21m;t;Concreto;17/04/2023;PA2013-0986;https://pergamum.anac.gov.br/arquivos/PA2013-0986.pdf
SIQW;RJ0174;Concrelagos;ITAPERUNA;Rio de Janeiro;"041°54'13,4""O";"21°11'34,4""S";VFR Diurna/Noturna;20;Quadrado;21m x 21m;t;Concreto;30/11/2028;PA2018-3566;https://pergamum.anac.gov.br/arquivos/PA2018-3566.pdf
SIGP;RJ0078;Rio - Bravo;RIO DE JANEIRO;Rio de Janeiro;"043°10'54,0""O";"22°54'33,0""S";VFR Diurna/Noturna;2 14;Quadrado;24m x 24m;t;Concreto;29/11/2021;PA2011-2316;https://pergamum.anac.gov.br/arquivos/PA2011-2316.pdf
SNHI;RN0013;Pólo Industrial;GUAMARÉ;Rio Grande do Norte;"036°23'03,9""O";"05°07'39,0""S";VFR Diurna/Noturna;12 27;Quadrado;27m x 27m;t;Concreto;16/01/2023;PA2013-0117;https://pergamum.anac.gov.br/arquivos/PA2013-0117.pdf
SDAZ;RJ0029;Rio Alpha;RIO DE JANEIRO;Rio de Janeiro;"043°10'53,0""O";"22°54'33,0""S";VFR Diurna/Noturna;2 17;Quadrado;21,6m x 21,6m;t;Concreto;10/08/2025;PA2015-2133;https://pergamum.anac.gov.br/arquivos/PA2015-2133.pdf
SJXW;MG0291;Fazenda Pacu;INHAÚMA;Minas Gerais;"044°28'29,0""O";"19°26'23,0""S";VFR Diurna/Noturna;13;Quadrado;24m x 24m;t;Concreto;30/11/2028;PA2018-3568;https://pergamum.anac.gov.br/arquivos/PA2018-3568.pdf
SDWW;SC0117;Milano;FLORIANÓPOLIS;Santa Catarina;"048°32'33,7""O";"27°35'15,9""S";VFR Diurna/Noturna;6 24;Quadrado;18m x 18m;t;Metálico;;;
SSFP;BA0261;Fazenda Porto Rancho;SANTA CRUZ CABRÁLIA;Bahia;"039°19'13,0""O";"16°22'25,0""S";VFR Diurna/Noturna;2;Quadrado;21m x 21m;t;Concreto;;;
SSTG;GO0172;Primavera;GOIANIRA;Goiás;"049°24'28,0""O";"16°32'31,0""S";VFR Diurna;9 27;Quadrado;24m x 24m;t;Concreto;17/05/2026;PA2016-1203;https://pergamum.anac.gov.br/arquivos/PA2016-1203.pdf
SDXG;RO0040;Seringueiras Tradição;SERINGUEIRAS;Rondônia;"063°01'18,3""O";"11°45'49,8""S";VFR Diurna/Noturna;27;Quadrado;21m x 21m;t;Concreto;18/05/2025;PA2015-1175;https://pergamum.anac.gov.br/arquivos/PA2015-1175.pdf
SWTM;PR0148;Moro Golf Club;PONTA GROSSA;Paraná;"050°10'20,0""O";"25°06'53,0""S";VFR Diurna/Noturna;3;Quadrado;18,75m x 18,75m;t;Asfalto;09/05/2022;PA2012-0871;https://pergamum.anac.gov.br/arquivos/PA2012-0871.pdf
SIHJ;RO0041;Jaru Tradição;JARU;Rondônia;"062°26'53,7""O";"10°26'32,8""S";VFR Diurna/Noturna;6;Quadrado;21m x 21m;t;Concreto;31/12/2024;PA2014-3179;https://pergamum.anac.gov.br/arquivos/PA2014-3179.pdf
SIQL;RO0042;Cacoal Tradição;CACOAL;Rondônia;"061°28'51,0""O";"11°26'30,0""S";VFR Diurna/Noturna;1;Quadrado;21m x 21m;t;Concreto;18/05/2025;PA2015-1172;https://pergamum.anac.gov.br/arquivos/PA2015-1172.pdf
SJPA;RO0043;Palácio Rio Madeira;PORTO VELHO;Rondônia;"063°54'37,0""O";"08°44'59,0""S";VFR Diurna/Noturna;9 21;Quadrado;19,86m x 19,86m;t;Concreto;27/09/2026;PA2016-2530;https://pergamum.anac.gov.br/arquivos/PA2016-2530.pdf
SNLU;RO0044;Santa Luzia D'Oeste Tradição;SANTA LUZIA D'OESTE;Rondônia;"061°47'34,0""O";"11°54'17,0""S";VFR Diurna/Noturna;24;Quadrado;21m x 21m;t;Concreto;18/05/2025;PA2015-1173;https://pergamum.anac.gov.br/arquivos/PA2015-1173.pdf
SNUQ;RO0045;Urupá Tradição;URUPÁ;Rondônia;"062°21'40,0""O";"11°06'59,0""S";VFR Diurna/Noturna;20;Quadrado;21m x 21m;t;Concreto;18/05/2025;PA2015-1174;https://pergamum.anac.gov.br/arquivos/PA2015-1174.pdf
SJOC;BA0210;CEO;SALVADOR;Bahia;"038°27'08,0""O";"12°58'46,0""S";VFR Diurna/Noturna;24;Quadrado;21m x 21m;t;Concreto;19/05/2024;PA2014-1160;https://pergamum.anac.gov.br/arquivos/PA2014-1160.pdf
SINF;ES0018;Heliponto N&F;SERRA;Espírito Santo;"040°16'37,0""O";"20°13'50,0""S";VFR Diurna/Noturna;32;Quadrado;20m x 20m;t;Concreto;27/09/2017;PA2017-3115;https://pergamum.anac.gov.br/arquivos/PA2017-3115.pdf
SSIW;BA0219;Itamar Musse ;LAURO DE FREITAS;Bahia;"038°19'00,0""O";"12°52'29,0""S";VFR Diurna/Noturna;12;Quadrado;20,6m x 20,6m;t;Grama;21/09/2027;PA2017-3042;https://pergamum.anac.gov.br/arquivos/PA2017-3042.pdf
SIRL;MG0234;Virginia Lyra;CONCEIÇÃO DAS ALAGOAS;Minas Gerais;"048°15'53,0""O";"19°58'55,0""S";VFR Diurna;31;Quadrado;21m x 21m;t;Asfalto;13/02/2023;PA2013-0381;https://pergamum.anac.gov.br/arquivos/PA2013-0381.pdf
SISC;MG0235;Senador Carlos Lyra;DELTA;Minas Gerais;"047°46'07,0""O";"19°57'25,0""S";VFR Diurna;25;Quadrado;21m x 21m;t;Concreto;15/05/2023;PA2013-1220;https://pergamum.anac.gov.br/arquivos/PA2013-1220.pdf
SJXN;MG0247;Niquini;BETIM;Minas Gerais;"044°04'18,0""O";"19°57'42,0""S";VFR Diurna;15;Quadrado;18m x 18m;t;Concreto;11/06/2025;PA2015-1407;https://pergamum.anac.gov.br/arquivos/PA2015-1407.pdf
SNBH;MG0248;Biocor;NOVA LIMA;Minas Gerais;"043°56'40,0""O";"19°58'53,0""S";VFR Diurna/Noturna;15 33;Quadrado;24m x 24m;t;Concreto;09/09/2023;PA2013-2322;https://pergamum.anac.gov.br/arquivos/PA2013-2322.pdf
SNBU;MG0249;Fazenda Alegria;FUNILÂNDIA;Minas Gerais;"044°03'24,0""O";"19°21'34,0""S";VFR Diurna/Noturna;30;Quadrado;20,6m x 20,6m;t;Grama;16/12/2025;PA2015-3311;https://pergamum.anac.gov.br/arquivos/PA2015-3311.pdf
SWOD;BA0234;Ondina;SALVADOR;Bahia;"038°30'14,0""O";"13°00'33,0""S";VFR Diurna/Noturna;17 35;Quadrado;21m x 21m;t;Concreto;26/07/2026;PA2016-1894;https://pergamum.anac.gov.br/arquivos/PA2016-1894.pdf
SIOH;MG0229;Cauê-Ijaci;IJACI;Minas Gerais;"044°56'29,0""O";"21°11'41,0""S";VFR Diurna;12;Quadrado;30m x 30m;t;Concreto;23/09/2024;PA2016-1953;https://pergamum.anac.gov.br/arquivos/PA2016-1953.pdf
SIRE;MG0232;Fazenda Retiro da Lagoa;PARAOPEBA;Minas Gerais;"044°31'20,0""O";"19°15'58,0""S";VFR Diurna/Noturna;20;Quadrado;24m x 24m;t;Grama;14/10/2024;PA2014-2405;https://pergamum.anac.gov.br/arquivos/PA2014-2405.pdf
SIUI;MG0236;ITH;JUIZ DE FORA;Minas Gerais;"043°21'40,0""O";"21°46'52,0""S";VFR Diurna/Noturna;32;Quadrado;18m x 18m;t;Concreto;29/01/2026;PA2016-0182;https://pergamum.anac.gov.br/arquivos/PA2016-0182.pdf
SIVB;MG0237;Helicentro Zona Sul;BELO HORIZONTE;Minas Gerais;"043°57'54""O";"19°59'08,0""S";VFR Diurna/Noturna;16;Quadrado;21m x 21m;t;Concreto;14/09/2024;PA2015-2813;https://pergamum.anac.gov.br/arquivos/PA2015-2813.pdf
SJBQ;MG0239;CBMM;ARAXÁ;Minas Gerais;"046°54'14,0""O";"19°40'33,0""S";VFR Diurna;11 29;Quadrado;24m x 24m;t;Asfalto;;;
SJXF;MG0246;Fazenda Coqueiros;FLORESTAL;Minas Gerais;"044°25'02,0""O";"19°50'37,0""S";VFR Diurna/Noturna;29;Quadrado;20m x 20m;t;Grama;04/07/2028;PA2018-1957;https://pergamum.anac.gov.br/arquivos/PA2018-1957.pdf
SNHH;MG0252;Helibrás;ITAJUBÁ;Minas Gerais;"045°28'51,0""O";"22°25'48,0""S";VFR Diurna;2 20;Quadrado;29,25m x 29,25m;t;Concreto;17/03/2021;PA2015-0376;https://pergamum.anac.gov.br/arquivos/PA2015-0376.pdf
SNHN;MG0253;EFAI;CONTAGEM;Minas Gerais;"044°03'19,0""O";"19°53'27,0""S";VFR Diurna/Noturna;14;Quadrado;21m x 21m;t;Concreto;14/12/2021;PA2016-0250;https://pergamum.anac.gov.br/arquivos/PA2016-0250.pdf
SNXD;MG0265;Gerdau;CONGONHAS;Minas Gerais;"043°45'24,0""O";"20°32'19,0""S";VFR Diurna;13;Quadrado;24m x 24m;t;Concreto;21/09/2027;PA2017-3035;https://pergamum.anac.gov.br/arquivos/PA2017-3035.pdf
SSAA;MG0267;Hospital da Unimed;BELO HORIZONTE;Minas Gerais;"043°55'11,0""O";"19°55'19,0""S";VFR Diurna/Noturna;30;Quadrado;19,5m x 19,5m;t;Concreto;20/08/2022;PA2016-0003;https://pergamum.anac.gov.br/arquivos/PA2016-0003.pdf
SDVC;AL0014;Valda Costa;MARAGOGI;Alagoas;"035°09'51,0""O";"08°55'04,0""S";VFR Diurna/Noturna;15;Quadrado;20m x 20m;t;Concreto;07/11/2024;PA2014-2628;https://pergamum.anac.gov.br/arquivos/PA2014-2628.pdf
SSAJ;MG0268;Fazenda Serra Azul;MEDINA;Minas Gerais;"041°28'18,0""O";"16°12'25,0""S";VFR Diurna;4;Quadrado;20m x 20m;t;Concreto;12/02/2025;PA2015-0372;https://pergamum.anac.gov.br/arquivos/PA2015-0372.pdf
