Última atualização: 11/09/2020;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Operação;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência;Superfície;Validade do Registro;Portaria de Registro;Link
SNDN;BA0212;Cemaden - CIGE ;SALVADOR;Bahia;"038°25'32,0""O";"12°56'38,0""S";VFR Diurna/Noturna;1;Quadrado;19,54m x 19,54m;t;Concreto;29/03/2027;PA2017-0911;https://pergamum.anac.gov.br/arquivos/PA2017-0911.pdf
SSIB;BA0218;Ages Bonfim;SENHOR DO BONFIM;Bahia;"040°08'45,9""O";"10°31'01,3""S";VFR Diurna/Noturna;34;Quadrado;21m x 21m;t;Concreto;01/03/2026;PA2016-0439;https://pergamum.anac.gov.br/arquivos/PA2016-0439.pdf
SSRI;BA0222;Ilhota dos Coqueiros;SALVADOR;Bahia;"038°39'00,0""O";"12°45'59,0""S";VFR Diurna/Noturna;;Circular;28m x 28m;4,5t;Concreto;01/03/2026;PA2016-0437;https://pergamum.anac.gov.br/arquivos/PA2016-0437.pdf
SSSO;BA0223;Porto Seco;FEIRA DE SANTANA;Bahia;"038°50'36,0""O";"12°20'11,0""S";VFR Diurna;7;Quadrado;20m x 20m;t;Concreto;26/01/2027;PA2017-0189;https://pergamum.anac.gov.br/arquivos/PA2017-0189.pdf
SNVO;SP0733;Vigor;SÃO PAULO;São Paulo;"046°36'14,0""O";"23°31'59,0""S";VFR Diurna/Noturna;30;Quadrado;21m x 21m;t;Concreto;12/02/2025;PA2019-0178;https://pergamum.anac.gov.br/arquivos/PA2019-0178.pdf
SJWK;CE0047;FIEC;FORTALEZA;Ceará;"038°30'32,0""O";"03°44'22,0""S";VFR Diurna/Noturna;16 31;Quadrado;18m x 18m;1,45t;Concreto;12/08/2021;PA2011-1530;https://pergamum.anac.gov.br/arquivos/PA2011-1530.pdf
SSGI;CE0058;LC CORPORATE GREEN TOWER;FORTALEZA;Ceará;"038°30'16,0""O";"03°43'36,0""S";VFR Diurna/Noturna;13;Quadrado;21m x 21m;t;Concreto;;;
SWHV;CE0065;Construtora G e F;FORTALEZA;Ceará;"038°32'02,0""O";"03°49'16,0""S";VFR Diurna/Noturna;13 31;Quadrado;18m x 18m;t;Concreto;07/12/2021;PA2011-2386;https://pergamum.anac.gov.br/arquivos/PA2011-2386.pdf
SDZA;DF0011;Península;BRASÍLIA;Distrito Federal;"047°52'00,0""O";"15°49'49,5""S";VFR Diurna;23;Quadrado;19,5m x 19,5m;t;Grama;14/09/2025;PA2015-2399;https://pergamum.anac.gov.br/arquivos/PA2015-2399.pdf
SNEM;BA0213;Enseada;SALVADOR;Bahia;"038°38'37,0""O";"12°47'44,0""S";VFR Diurna/Noturna;11;Quadrado;21m x 21m;t;Concreto;16/08/2026;PA2016-2101;https://pergamum.anac.gov.br/arquivos/PA2016-2101.pdf
SNXM;SP1252;BBP;JARINU;São Paulo;"046°42'31,3""O";"23°02'28,2""S";VFR Diurna/Noturna;5;Quadrado;24m x 24m;t;Concreto;;;
SWDF;DF0019;Residência Oficial de Águas Claras II;BRASÍLIA;Distrito Federal;"048°01'23,0""O";"15°49'39,0""S";VFR Diurna/Noturna;12 28;Quadrado;35m x 35m;t;Concreto;03/07/2024;PA2014-2124;https://pergamum.anac.gov.br/arquivos/PA2014-2124.pdf
SJAE;ES0019;Hospital Estadual Dr. Jayme Santos Neves;SERRA;Espírito Santo;"040°13'41,0""O";"20°12'04,0""S";VFR Diurna/Noturna;4;Quadrado;19,5m x 19,5m;t;Concreto;16/01/2023;PA2014-3141;https://pergamum.anac.gov.br/arquivos/PA2014-3141.pdf
SJIE;ES0020;Residência Oficial;VILA VELHA;Espírito Santo;"040°16'09,0""O";"20°19'38,0""S";VFR Diurna/Noturna;28;Quadrado;26,54m x 26,54m;t;Asfalto;;;
SNBP;ES0021;Praia da Costa;VILA VELHA;Espírito Santo;"040°17'23,0""O";"20°20'36,0""S";VFR Diurna/Noturna;12;Quadrado;19,6m x 19,6m;t;Concreto;15/06/2026;PA2016-1479;https://pergamum.anac.gov.br/arquivos/PA2016-1479.pdf
SNWY;ES0022;Rodoviária ;VITÓRIA;Espírito Santo;"040°21'11,0""O";"20°19'19,0""S";VFR Diurna/Noturna;1;Quadrado;20m x 20m;t;Concreto;25/01/2021;PA2014-2182;https://pergamum.anac.gov.br/arquivos/PA2014-2182.pdf
SNZX;CE0074;WSTC;FORTALEZA;Ceará;"038°28'46,7""O";"03°47'17,3""S";VFR Diurna/Noturna;9 30;Quadrado;20m x 20m;t;Concreto;;;
SIHR;ES0017;Vilacóptero II;VILA VELHA;Espírito Santo;"040°22'24,0""O";"20°30'11,0""S";VFR Diurna/Noturna;11 29;Quadrado;29,5m x 29,5m;t;Concreto;;;
SWKY;BA0231;Maravilha;CAMAÇARI;Bahia;"038°14'58,0""O";"12°48'42,0""S";VFR Diurna/Noturna;11;Quadrado;21m x 21m;t;Concreto;22/11/2028;PA2018-3461;https://pergamum.anac.gov.br/arquivos/PA2018-3461.pdf
SNHF;DF0017;Figaro;BRASÍLIA;Distrito Federal;"047°49'01,2""O";"15°46'25,0""S";VFR Diurna/Noturna;2 11;Quadrado;18m x 18m;t;Concreto;13/09/2020;PA2010-1519;https://pergamum.anac.gov.br/arquivos/PA2010-1519.pdf
SJED;CE0042;Metaneide;MARACANAÚ;Ceará;"038°35'59,0""O";"03°50'31,0""S";VFR Diurna/Noturna;10;Quadrado;20m x 20m;t;Concreto;16/09/2023;PA2013-2404;https://pergamum.anac.gov.br/arquivos/PA2013-2404.pdf
SSII;GO0169;Teuto;ANÁPOLIS;Goiás;"048°54'59,0""O";"16°24'23,0""S";VFR Diurna;20;Quadrado;21m x 21m;t;Concreto;10/03/2024;PA2014-0529;https://pergamum.anac.gov.br/arquivos/PA2014-0529.pdf
SJRA;AM0061;P.E. Anori;ANORI;Amazonas;"061°39'45,5""O";"03°42'38,5""S";VFR Diurna;4;Quadrado;19,5m x 19,5m;t;Concreto;26/01/2027;PA2017-0200;https://pergamum.anac.gov.br/arquivos/PA2017-0200.pdf
SICE;MA0057;Central Engenharia;SÃO LUÍS;Maranhão;"044°17'59,0""O";"02°32'07,0""S";VFR Diurna;11 29;Quadrado;18m x 18m;t;Concreto;09/10/2025;PA2015-2677;https://pergamum.anac.gov.br/arquivos/PA2015-2677.pdf
SIQP;MA0058;Pedra Caída;CAROLINA;Maranhão;"047°26'35,0""O";"07°02'27,0""S";VFR Diurna/Noturna;8;Quadrado;19,5m x 19,5m;t;Concreto;29/01/2025;PA2015-0219;https://pergamum.anac.gov.br/arquivos/PA2015-0219.pdf
SJAY;MA0059;Alphaville Araçagy;PAÇO DO LUMIAR;Maranhão;"044°10'26,0""O";"02°28'12,0""S";VFR Diurna;19;Quadrado;21m x 21m;t;Concreto;20/01/2027;PA2017-0068;https://pergamum.anac.gov.br/arquivos/PA2017-0068.pdf
SJEM;MA0060;Marcus Barbosa Empresarial Calhau;SÃO LUÍS;Maranhão;"044°16'29,0""O";"02°29'35,0""S";VFR Diurna/Noturna;2;Quadrado;18m x 18m;t;Concreto;23/08/2026;PA2016-2150;https://pergamum.anac.gov.br/arquivos/PA2016-2150.pdf
SSYG;MA0072;Veja;PAÇO DO LUMIAR;Maranhão;"044°07'31,7""O";"02°31'31,8""S";VFR Diurna/Noturna;4;Quadrado;19,5m x 19,5m;t;Concreto;23/07/2023;PA2013-1890;https://pergamum.anac.gov.br/arquivos/PA2013-1890.pdf
SWLW;MA0074;Grupo Tático Aéreo;SÃO LUÍS;Maranhão;"044°16'46,0""O";"02°29'47,0""S";VFR Diurna/Noturna;10;Quadrado;19,5m x 19,5m;t;Concreto;09/08/2023;PA2013-2027;https://pergamum.anac.gov.br/arquivos/PA2013-2027.pdf
SWSB;MA0075;Fazenda Santa Bárbara;IGARAPÉ DO MEIO;Maranhão;"045°05'44,0""O";"03°35'19,0""S";VFR Diurna;8;Quadrado;19,5m x 19,5m;t;Grama;29/01/2023;PA2013-0261;https://pergamum.anac.gov.br/arquivos/PA2013-0261.pdf
SDBO;MG0212;Morada Nova;INHAÚMA;Minas Gerais;"044°22'23,0""O";"19°27'59,0""S";VFR Diurna/Noturna;23;Quadrado;21m x 21m;t;Concreto;31/10/2022;PA2012-2302;https://pergamum.anac.gov.br/arquivos/PA2012-2302.pdf
SDCT;MG0214;Pequena Tiradentes ;TIRADENTES;Minas Gerais;"044°10'11,0""O";"21°07'41,0""S";VFR Diurna/Noturna;36;Quadrado;29,25m x 29,25m;t;Grama;28/06/2027;PA2017-2014;https://pergamum.anac.gov.br/arquivos/PA2017-2014.pdf
SDGV;MG0215;Conde;NOVA LIMA;Minas Gerais;"043°57'07,9""O";"19°59'41,0""S";VFR Diurna/Noturna;25;Quadrado;19,5m x 19,5m;t;Concreto;20/07/2022;PA2012-1455;https://pergamum.anac.gov.br/arquivos/PA2012-1455.pdf
SDYM;MG0222;Mater Dei - Contorno;BELO HORIZONTE;Minas Gerais;"043°57'28,0""O";"19°55'37,0""S";VFR Diurna/Noturna;9 27;Quadrado;24m x 24m;t;Concreto;18/05/2025;PA2015-1169;https://pergamum.anac.gov.br/arquivos/PA2015-1169.pdf
SDZJ;MG0223;Fly Green;JAÍBA;Minas Gerais;"043°49'52,0""O";"15°17'02,0""S";VFR Diurna;17;Quadrado;18m x 18m;t;Concreto;19/07/2027;PA2017-2068;https://pergamum.anac.gov.br/arquivos/PA2017-2068.pdf
SIDI;MG0224;Fazenda Cachoeira;CAETÉ;Minas Gerais;"043°37'49,0""O";"19°49'46,0""S";VFR Diurna/Noturna;10 25;Quadrado;21m x 21m;t;Grama;08/02/2027;PA2017-0245;https://pergamum.anac.gov.br/arquivos/PA2017-0245.pdf
SIFG;MG0226;Life Center;BELO HORIZONTE;Minas Gerais;"043°55'28,0""O";"19°56'07,0""S";VFR Diurna/Noturna;22;Quadrado;18m x 18m;t;Concreto;27/01/2022;PA2012-0201;https://pergamum.anac.gov.br/arquivos/PA2012-0201.pdf
SINX;MG0228;Morro do Chapeú ;NOVA LIMA;Minas Gerais;"043°56'20,0""O";"20°06'32,0""S";VFR Diurna/Noturna;33;Quadrado;20,6m x 20,6m;t;Paralelepípedo;11/06/2025;PA2015-1405;https://pergamum.anac.gov.br/arquivos/PA2015-1405.pdf
SIOY;MG0230;Fazenda Santa Clara;SANTANA DO DESERTO;Minas Gerais;"043°10'33,0""O";"21°52'50,0""S";VFR Diurna/Noturna;33;Quadrado;27,5m x 27,5m;t;Concreto;21/10/2025;PA2015-2812;https://pergamum.anac.gov.br/arquivos/PA2015-2812.pdf
SIRK;MG0233;Hospital Pronto Socorro João XXIII;BELO HORIZONTE;Minas Gerais;"043°55'53,0""O";"19°55'33,0""S";VFR Diurna/Noturna;17;Quadrado;21m x 21m;4,25t;Metálico;08/11/2021;PA2011-2169;https://pergamum.anac.gov.br/arquivos/PA2011-2169.pdf
SJLY;MG0243;Helicentro BH;NOVA LIMA;Minas Gerais;"043°57'41,0""O";"20°02'50,0""S";VFR Diurna/Noturna;13;Quadrado;21m x 21m;4,3t;Concreto;18/05/2021;PA2011-0971;https://pergamum.anac.gov.br/arquivos/PA2011-0971.pdf
